Country,Proj_Area,District,Cluster,Village,Group_Name,date_registered,Groups,Trees
UG,Soroti,Soroti,Obule,Agugu,Einer Aswam,10/25/2021 7:07,1,2112
UG,Soroti,Soroti,Obule,Alito village,Aswam Agogong tree farmers,10/25/2021 7:07,1,1312
UG,Soroti,Soroti,Tubur-Ogolai,Aparisa,Aparisa  tree planters,10/25/2021 7:07,1,9
UG,Soroti,Soroti,Palam,Asinge,Eraata T.P.G.,10/25/2021 7:07,1,78
UG,Kyenjojo,Uganda - Kyenjojo,Kyembogo,BUHUMURIRO,Tweyambe grp,10/25/2021 7:07,1,1412
KE,Nanyuki,Kenya - Nyeri North,Kiganjo,Gitwe,Gitwe,10/25/2021 7:07,1,129
UG,Isingiro,Uganda - Isingiro,Kakamba,Kagando,Kagando Tree Planting Group,10/25/2021 7:07,1,8210
KE,Meru,South Imenti,Kanyakine,Baranga,Nturene  Shg,5/13/2014 12:00,1,918
UG,Kanungu,Uganda - Kanungu,Kinaba,Kanyabwogo,Mukyogo Tukwatanise G,10/25/2021 7:07,1,660
UG,Bushenyi,Bushenyi,Kyaruganda,Karokarungi,Karokarungi green team group,10/25/2021 7:07,1,1527
UG,Kanungu,Uganda - Kanungu,Kinaba,Kitobi,Rugyendabare Farmers,10/25/2021 7:07,1,788
KE,Meru,South Imenti,Kanyakine,Gikingo,Mukuu,5/13/2014 12:00,1,1358
KE,Meru,South Imenti,Kanyakine,Gituri,KAMWE SHG,5/13/2014 12:00,1,629
UG,Kanungu,Uganda - Kanungu,Hanturo,Kyamukombe,Kyamukombe Tree Farmers,10/25/2021 7:07,1,1961
UG,Kayunga,Uganda - Kayunga,Namusaala,LUNSEKE,AGALI AWAMU TREE PLANTERS,10/25/2021 7:07,1,50
UG,Kanungu,Uganda - Kanungu,Nyamirama,Mukirwa,Tukorerehamwe group,10/25/2021 7:07,1,186
KE,Meru,South Imenti,Kanyakine,Kaguruka,Kaguruka tree growers,2/18/2014 0:00,1,1259
