Country,Proj_Area,District,Cluster,Village,Group_Name,date_registered,Groups,Trees,Date,Year_Enroled
KE,Meru,Igembe,Anchenge,Anchenge,39482,10/19/2022 22:29,1,386,2022-10-19 22:29:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,13545,10/19/2022 22:29,1,639,2022-10-19 22:29:00 UTC,2022
UG,Kayunga,Uganda - Kayunga,Baliwamu,KIGAYAZA,12921,12/29/2022 22:42,1,62,2022-12-29 22:42:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,35578,10/19/2022 22:29,1,27,2022-10-19 22:29:00 UTC,2022
KE,Meru,Igembe,Anchenge,Anchenge,23442,10/19/2022 22:29,1,376,2022-10-19 22:29:00 UTC,2022
KE,Meru,Igembe,Anchenge,Amwamba,10271,10/08/2022 22:31,1,257,2022-10-08 22:31:00 UTC,2022
KE,Meru,Igembe,Anchenge,Kaluine,32432,10/08/2022 22:31,1,230,2022-10-08 22:31:00 UTC,2022
KE,Meru,Igembe,Anchenge,Kilili,19503,08/04/2021 06:11,1,243,2021-08-04 06:11:00 UTC,2021
KE,Meru,Igembe,Anchenge,Auki,18342,11/10/2008 00:00,1,522,2008-11-10 00:00:00 UTC,2008
KE,Meru,Igembe,Anchenge,Athiru/gaiti,18919,9/25/2008 0:00,1,533,2008-09-25 00:00:00 UTC,2008
KE,Meru,Igembe,Anchenge,Athiru Gaiti,23865,9/18/2008 0:00,1,1043,2008-09-18 00:00:00 UTC,2008
KE,Meru,Igembe,Anchenge,Athiru Gaiti,15060,9/18/2008 0:00,1,298,2008-09-18 00:00:00 UTC,2008
KE,Nanyuki,Kenya - Nyeri North,Ragati,Karandi,34240,12/28/2022 22:43,1,0,2022-12-28 22:43:00 UTC,2022
UG,Lamwo,Uganda - Lamwo,Madi Opei,ORYANG,14810,12/28/2022 22:43,1,1445,2022-12-28 22:43:00 UTC,2022
UG,Soroti,Soroti,Ocokican,Owalai,39930,12/28/2022 22:43,1,46,2022-12-28 22:43:00 UTC,2022
KE,Nanyuki,Kenya - Laikipia East,Sweet Water,Yard A,21085,12/28/2022 22:43,1,21,2022-12-28 22:43:00 UTC,2022
KE,Nanyuki,Kenya - Nyeri North,Sweet Water,Yard B,10348,12/28/2022 22:43,1,0,2022-12-28 22:43:00 UTC,2022
UG,Soroti,Soroti,Obwobwo,Akomotukoi,26913,12/28/2022 22:43,1,245,2022-12-28 22:43:00 UTC,2022
KE,Machakos,Kenya - Mbeere South,Ngetha,Kaathi,39420,12/28/2022 22:43,1,0,2022-12-28 22:43:00 UTC,2022
UG,Bushenyi,Bushenyi,Rutooto,Kanyambiriri,32784,12/28/2022 22:43,1,1583,2022-12-28 22:43:00 UTC,2022
KE,Machakos,Kenya - Mbeere South,Ngetha,Masaani,18020,12/28/2022 22:43,1,0,2022-12-28 22:43:00 UTC,2022
UG,Amuru,Uganda - Amuru,Pupwooya,Pamwoma,36186,12/28/2022 22:43,1,411,2022-12-28 22:43:00 UTC,2022
UG,Amuru,Uganda - Amuru,Pupwooya,Pawiro ato,13920,12/28/2022 22:43,1,177,2022-12-28 22:43:00 UTC,2022
UG,Gulu,Uganda - Gulu,Omel,Unyama A,37734,12/28/2022 22:43,1,102,2022-12-28 22:43:00 UTC,2022
UG,Gulu,Uganda - Gulu,Omel,Unyama A,33582,12/28/2022 22:43,1,404,2022-12-28 22:43:00 UTC,2022
UG,Gulu,Uganda - Gulu,CET KANA OWOO,Adak,14467,12/27/2022 22:44,1,14,2022-12-27 22:44:00 UTC,2022
